Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,178,64,0,242
6,Crossbench,140,46,0,186
15,Labour,123,58,0,181
17,Liberal Democrat,61,33,0,94
49,Non-affiliated,41,6,0,47
3,Bishops,21,5,0,26
7,Democratic Unionist Party,4,0,0,4
44,Green Party,0,2,0,2
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
