date,total
2000-01-01,667
2000-02-01,665
2000-03-01,669
2000-04-01,669
2000-05-01,678
2000-06-01,692
2000-07-01,699
2000-08-01,698
2000-09-01,697
2000-10-01,695
2000-11-01,696
2000-12-01,694
2001-01-01,692
2001-02-01,690
2001-03-01,685
2001-04-01,683
2001-05-01,679
2001-06-01,678
2001-07-01,693
2001-08-01,710
2001-09-01,709
2001-10-01,707
2001-11-01,704
2001-12-01,705
2002-01-01,702
2002-02-01,701
2002-03-01,700
2002-04-01,697
2002-05-01,694
2002-06-01,692
2002-07-01,691
2002-08-01,687
2002-09-01,685
2002-10-01,685
2002-11-01,685
2002-12-01,681
2003-01-01,682
2003-02-01,677
2003-03-01,678
2003-04-01,677
2003-05-01,675
2003-06-01,673
2003-07-01,674
2003-08-01,673
2003-09-01,671
2003-10-01,671
2003-11-01,672
2003-12-01,669
2004-01-01,665
2004-02-01,668
2004-03-01,665
2004-04-01,664
2004-05-01,661
2004-06-01,662
2004-07-01,702
2004-08-01,702
2004-09-01,700
2004-10-01,701
2004-11-01,694
2004-12-01,694
2005-01-01,692
2005-02-01,695
2005-03-01,694
2005-04-01,692
2005-05-01,693
2005-06-01,695
2005-07-01,723
2005-08-01,723
2005-09-01,719
2005-10-01,721
2005-11-01,722
2005-12-01,722
2006-01-01,720
2006-02-01,716
2006-03-01,714
2006-04-01,713
2006-05-01,714
2006-06-01,721
2006-07-01,742
2006-08-01,742
2006-09-01,740
2006-10-01,741
2006-11-01,739
2006-12-01,738
2007-01-01,737
2007-02-01,733
2007-03-01,732
2007-04-01,739
2007-05-01,739
2007-06-01,736
2007-07-01,736
2007-08-01,739
2007-09-01,736
2007-10-01,735
2007-11-01,739
2007-12-01,736
2008-01-01,738
2008-02-01,735
2008-03-01,735
2008-04-01,733
2008-05-01,731
2008-06-01,732
2008-07-01,735
2008-08-01,733
2008-09-01,732
2008-10-01,733
2008-11-01,731
2008-12-01,732
2009-01-01,732
2009-02-01,731
2009-03-01,731
2009-04-01,729
2009-05-01,726
2009-06-01,724
2009-07-01,725
2009-08-01,724
2009-09-01,722
2009-10-01,705
2009-11-01,705
2009-12-01,706
2010-01-01,706
2010-02-01,705
2010-03-01,704
2010-04-01,707
2010-05-01,712
2010-06-01,706
2010-07-01,722
2010-08-01,749
2010-09-01,746
2010-10-01,744
2010-11-01,738
2010-12-01,741
2011-01-01,753
2011-02-01,787
2011-03-01,792
2011-04-01,792
2011-05-01,789
2011-06-01,787
2011-07-01,787
2011-08-01,787
2011-09-01,787
2011-10-01,785
2011-11-01,788
2011-12-01,788
2012-01-01,787
2012-02-01,788
2012-03-01,786
2012-04-01,784
2012-05-01,783
2012-06-01,783
2012-07-01,765
2012-08-01,765
2012-09-01,764
2012-10-01,765
2012-11-01,760
2012-12-01,759
2013-01-01,759
2013-02-01,760
2013-03-01,761
2013-04-01,764
2013-05-01,762
2013-06-01,760
2013-07-01,753
2013-08-01,755
2013-09-01,753
2013-10-01,779
2013-11-01,782
2013-12-01,780
2014-01-01,778
2014-02-01,778
2014-03-01,780
2014-04-01,779
2014-05-01,780
2014-06-01,779
2014-07-01,779
2014-08-01,775
2014-09-01,775
2014-10-01,793
2014-11-01,786
2014-12-01,785
2015-01-01,792
2015-02-01,789
2015-03-01,790
2015-04-01,791
2015-05-01,788
2015-06-01,787
2015-07-01,785
2015-08-01,781
2015-09-01,778
2015-10-01,783
2015-11-01,820
2015-12-01,822
2016-01-01,821
2016-02-01,820
2016-03-01,816
2016-04-01,814
2016-05-01,808
2016-06-01,802
2016-07-01,800
2016-08-01,797
2016-09-01,801
2016-10-01,810
2016-11-01,812
2016-12-01,808
2017-01-01,809
2017-02-01,804
2017-03-01,804
2017-04-01,804
2017-05-01,802
2017-06-01,810
2017-07-01,805
2017-08-01,803
2017-09-01,802
2017-10-01,799
2017-11-01,798
2017-12-01,798
2018-01-01,794
2018-02-01,793
2018-03-01,792
2018-04-01,785
2018-05-01,782
2018-06-01,778
2018-07-01,791
2018-08-01,793
2018-09-01,792
2018-10-01,791
2018-11-01,791
2018-12-01,792
2019-01-01,789
2019-02-01,785
2019-03-01,780
2019-04-01,781
2019-05-01,781
2019-06-01,778
2019-07-01,778
2019-08-01,776
2019-09-01,776
2019-10-01,775
2019-11-01,792
2019-12-01,793
2020-01-01,794
2020-02-01,794
2020-03-01,792
2020-04-01,787
2020-05-01,785
2020-06-01,781
2020-07-01,775
2020-08-01,772
2020-09-01,772
2020-10-01,797
2020-11-01,797
2020-12-01,796
2021-01-01,793
2021-02-01,803
2021-03-01,801
2021-04-01,796
2021-05-01,802
2021-06-01,789
2021-07-01,790
2021-08-01,791
2021-09-01,788
2021-10-01,788
2021-11-01,786
2021-12-01,784
2022-01-01,776
2022-02-01,769
2022-03-01,767
2022-04-01,765
2022-05-01,785
2022-06-01,773
2022-07-01,767
2022-08-01,760
2022-09-01,757
2022-10-01,755
2022-11-01,770
2022-12-01,786
2023-01-01,784
2023-02-01,781
2023-03-01,778
2023-04-01,776
2023-05-01,778
2023-06-01,778
2023-07-01,776
2023-08-01,779
2023-09-01,777
2023-10-01,780
2023-11-01,788
2023-12-01,785
2024-01-01,785
2024-02-01,783
2024-03-01,779
2024-04-01,792
2024-05-01,786
2024-06-01,796
2024-07-01,798
2024-08-01,786
2024-09-01,805
2024-10-01,803
2024-11-01,804
2024-12-01,805
2025-01-01,801
2025-02-01,825
2025-03-01,833
2025-04-01,829
2025-05-01,829
2025-06-01,834
2025-07-01,833
2025-08-01,831
2025-09-01,828
2025-10-01,826
2025-11-01,826
2025-12-01,827
